cod interno do cliente,Descrição,codigo fornecedores,Detalhe,Aplicação,Diam.Copinho,Diam.Rolamento,Face a Face Cruzeta
050.43A.SPI,COLUNA DE DIRECAO,2106.1076/08X,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 1050.00mm FACE A FACE FECHADO,VOLVO NL10 340/NL12 360,19.00mm,,47.00mm
050.43A.STH,COLUNA DE DIRECAO,RCD115,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 1050.00mm FACE A FACE FECHADO,VOLVO NL10 340/NL12 360,19.00mm,,47.00mm
050.43AA.STH,COLUNA DE DIRECAO,RCD223,MONTA LADO1=SEM JUNTA+79 ESTRIAS LADO2=HJU884/MEDE 870.00mm FACE A FACE FECHADO,SCANIA GL380/G420/G440,19.00mm,,47.00mm
050.43B.SPI,COLUNA DE DIRECAO,2106.1098/04X,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 513.00mm FACE A FACE FECHADO,MB OF1417/MB OF1721,19.00mm,,47.00mm
050.43B.STH,COLUNA DE DIRECAO,RCD116,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 460.00mm FACE A FACE FECHADO,MB OF1417/MB OF1721,19.00mm,,47.00mm
050.43C.SPI,COLUNA DE DIRECAO,2106.1063/01X,MONTA LADO1=SEM JUNTA LADO2=HJU884/MEDE 770.00mm FACE A FACE FECHADO,MB L1218/MB L1418/MB L1618,19.00mm,,47.00mm
050.43C.STH,COLUNA DE DIRECAO,RCD117,MONTA LADO1=SEM JUNTA LADO2=HJU884/MEDE 755.00mm FACE A FACE FECHADO,MB L1218/MB L1418/MB L1618,19.00mm,,47.00mm
050.43D.SPI,COLUNA DE DIRECAO,2106.1098/03X,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 385.00mm FACE A FACE FECHADO,MB OH1421/MB OH1621,19.00mm,,47.00mm
050.43D.STH,COLUNA DE DIRECAO,RCD118,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 385.00mm FACE A FACE FECHADO,MB OH1421/MB OH1621,19.00mm,,47.00mm
050.43E.SPI,COLUNA DE DIRECAO,2106.1098/02X,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 715.00mm FACE A FACE FECHADO,MB OH1625/MB OH1628/MB HO1636,19.00mm,,47.00mm
050.43E.STH,COLUNA DE DIRECAO,RCD119,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 700.00mm FACE A FACE FECHADO,MB OH1625/MB OH1628/MB HO1636,19.00mm,,47.00mm
050.43F.SPI,COLUNA DE DIRECAO,2106.1063/02X,MONTA LADO1=SEM JUNTA LADO2=HJU884/MEDE 870.00mm FACE A FACE FECHADO,MB LS1630/MB LS1935/MB LS1941,19.00mm,,47.00mm
050.43F.STH,COLUNA DE DIRECAO,RCD120,MONTA LADO1=SEM JUNTA LADO2=HJU884/MEDE 855.00mm FACE A FACE FECHADO,MB LS1630/MB LS1935/MB LS1941,19.00mm,,47.00mm
050.43G.SPI,COLUNA DE DIRECAO,2106.1108/01X,MONTA LADO1=SEM JUNTA LADO2=HJU884/MEDE 398.00mm FACE A FACE FECHADO,MB 1214C/MB 1215C/MB 1718,19.00mm,,47.00mm
050.43G.STH,COLUNA DE DIRECAO,RCD121,MONTA LADO1=SEM JUNTA LADO2=HJU884/MEDE 414.00mm FACE A FACE FECHADO,MB 1214C/MB 1215C/MB 1718,19.00mm,,47.00mm
050.43H.SPI,COLUNA DE DIRECAO,2106.1123/01X,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 1125.00mm FACE A FACE FECHADO,MB L1620/MB LS1632/MB LS1938,19.00mm,,47.00mm
050.43H.STH,COLUNA DE DIRECAO,RCD122,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 1116.00mm FACE A FACE FECHADO,MB L1620/MB LS1632/MB LS1938,19.00mm,,47.00mm
